#separator:Tab
#html:true
#notetype:Basic
#deck:Neovim::Keymaps
#tags column:3
#columns:Front	Back	Tags
What does <b>Space</b> do in <b>the global config</b>?<br><small>This config · leaders</small>	Global leader prefix for custom mappings.<br><br><small>Exact notation: <code>&lt;Space&gt;</code></small>	nvim config config::leaders context::global
What does <b>:find {file}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Find and edit a file using the path option.<br><br><small>Exact notation: <code>:find {file}</code></small>	nvim native native::files context::ex
What does <b>gf</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Files</small>	Edit the file name under the cursor.<br><br><small>Exact notation: <code>gf</code></small>	nvim native native::files mode::normal
What does <b>gF</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Files</small>	Edit the file under the cursor and jump to a following line number.<br><br><small>Exact notation: <code>gF</code></small>	nvim native native::files mode::normal
What does <b>:write</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Write the current buffer.<br><br><small>Exact notation: <code>:write</code></small>	nvim native native::files context::ex
What does <b>:update</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Write only if the current buffer changed.<br><br><small>Exact notation: <code>:update</code></small>	nvim native native::files context::ex
What does <b>:wall</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Write all changed buffers.<br><br><small>Exact notation: <code>:wall</code></small>	nvim native native::files context::ex
What does <b>:write {file}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Write to another path without necessarily renaming the buffer.<br><br><small>Exact notation: <code>:write {file}</code></small>	nvim native native::files context::ex
What does <b>:saveas {file}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Write and make that path the current file name.<br><br><small>Exact notation: <code>:saveas {file}</code></small>	nvim native native::files context::ex
What does <b>:file {name}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Change the buffer&#x27;s displayed file name without writing.<br><br><small>Exact notation: <code>:file {name}</code></small>	nvim native native::files context::ex
What does <b>:edit!</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Reload and discard unsaved buffer changes.<br><br><small>Exact notation: <code>:edit!</code></small>	nvim native native::files context::ex
What does <b>:quit / :quit!</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Close the window; bang discards blocking changes.<br><br><small>Exact notation: <code>:quit / :quit!</code></small>	nvim native native::files context::ex
What does <b>:wq</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Write and close the window.<br><br><small>Exact notation: <code>:wq</code></small>	nvim native native::files context::ex
What does <b>:x</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Write only if changed and close.<br><br><small>Exact notation: <code>:x</code></small>	nvim native native::files context::ex
What does <b>ZZ / ZQ</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Files</small>	Write-if-changed and quit / quit without writing.<br><br><small>Exact notation: <code>ZZ / ZQ</code></small>	nvim native native::files mode::normal
What does <b>:qall / :qall!</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Quit all windows; bang discards changes.<br><br><small>Exact notation: <code>:qall / :qall!</code></small>	nvim native native::files context::ex
What does <b>:pwd</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Show the current working directory.<br><br><small>Exact notation: <code>:pwd</code></small>	nvim native native::files context::ex
What does <b>:cd {dir}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Change the global working directory.<br><br><small>Exact notation: <code>:cd {dir}</code></small>	nvim native native::files context::ex
What does <b>:lcd {dir}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Change the current window&#x27;s working directory.<br><br><small>Exact notation: <code>:lcd {dir}</code></small>	nvim native native::files context::ex
What does <b>:tcd {dir}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Change the current tabpage&#x27;s working directory.<br><br><small>Exact notation: <code>:tcd {dir}</code></small>	nvim native native::files context::ex
What does <b>:oldfiles</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	List files remembered in Viminfo/ShaDa.<br><br><small>Exact notation: <code>:oldfiles</code></small>	nvim native native::files context::ex
What does <b>:read {file}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Files</small>	Insert another file below the addressed line.<br><br><small>Exact notation: <code>:read {file}</code></small>	nvim native native::files context::ex
What does <b>:buffers / :ls</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Buffers</small>	List buffers and their state flags.<br><br><small>Exact notation: <code>:buffers / :ls</code></small>	nvim native native::buffers context::ex
What does <b>:buffer {number-or-name}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Buffers</small>	Display a listed buffer in the current window.<br><br><small>Exact notation: <code>:buffer {number-or-name}</code></small>	nvim native native::buffers context::ex
What does <b>:b# / Ctrl+^</b> do in <b>Normal mode or Ex command mode</b>?<br><small>Native Vim/Neovim · Buffers</small>	Switch to the alternate buffer.<br><br><small>Exact notation: <code>:b# / &lt;C-^&gt;</code></small>	nvim native native::buffers mode::normal context::ex
What does <b>:bnext / :bprevious</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Buffers</small>	Move through listed buffers.<br><br><small>Exact notation: <code>:bnext / :bprevious</code></small>	nvim native native::buffers context::ex
What does <b>:bfirst / :blast</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Buffers</small>	Move to the first / last listed buffer.<br><br><small>Exact notation: <code>:bfirst / :blast</code></small>	nvim native native::buffers context::ex
What does <b>:bdelete</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Buffers</small>	Remove a buffer from the list without deleting its file.<br><br><small>Exact notation: <code>:bdelete</code></small>	nvim native native::buffers context::ex
What does <b>:bwipeout</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Buffers</small>	Remove a buffer plus its marks and buffer-local state.<br><br><small>Exact notation: <code>:bwipeout</code></small>	nvim native native::buffers context::ex
What does <b>:hide</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Buffers</small>	Close the current window while retaining its buffer and changes.<br><br><small>Exact notation: <code>:hide</code></small>	nvim native native::buffers context::ex
What does <b>:sbuffer {buffer}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Buffers</small>	Open a buffer in a new split.<br><br><small>Exact notation: <code>:sbuffer {buffer}</code></small>	nvim native native::buffers context::ex
What does <b>:args</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Argument list</small>	Show the argument list and current position.<br><br><small>Exact notation: <code>:args</code></small>	nvim native native::arglist context::ex
What does <b>:args {files}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Argument list</small>	Replace the argument list.<br><br><small>Exact notation: <code>:args {files}</code></small>	nvim native native::arglist context::ex
What does <b>:next / :previous</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Argument list</small>	Edit the next / previous argument.<br><br><small>Exact notation: <code>:next / :previous</code></small>	nvim native native::arglist context::ex
What does <b>:first / :last</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Argument list</small>	Edit the first / last argument.<br><br><small>Exact notation: <code>:first / :last</code></small>	nvim native native::arglist context::ex
What does <b>:argadd {files}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Argument list</small>	Add files to the argument list.<br><br><small>Exact notation: <code>:argadd {files}</code></small>	nvim native native::arglist context::ex
What does <b>:argdelete {files}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Argument list</small>	Remove files from the argument list.<br><br><small>Exact notation: <code>:argdelete {files}</code></small>	nvim native native::arglist context::ex
What does <b>:argdo {command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Argument list</small>	Run a command for every argument.<br><br><small>Exact notation: <code>:argdo {command}</code></small>	nvim native native::arglist context::ex
What does <b>:wnext / :wprevious</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Argument list</small>	Write and move to the next / previous argument.<br><br><small>Exact notation: <code>:wnext / :wprevious</code></small>	nvim native native::arglist context::ex
What does <b>:tabnew</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Tabpages</small>	Create a tabpage with a new buffer.<br><br><small>Exact notation: <code>:tabnew</code></small>	nvim native native::tabpages context::ex
What does <b>:tabedit {file}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Tabpages</small>	Edit a file in a new tabpage.<br><br><small>Exact notation: <code>:tabedit {file}</code></small>	nvim native native::tabpages context::ex
What does <b>:tabs</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Tabpages</small>	List tabpages and their windows.<br><br><small>Exact notation: <code>:tabs</code></small>	nvim native native::tabpages context::ex
What does <b>gt / gT</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Tabpages</small>	Go to the next / previous tabpage.<br><br><small>Exact notation: <code>gt / gT</code></small>	nvim native native::tabpages mode::normal
What does <b>{N}gt</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Tabpages</small>	Go to tabpage N.<br><br><small>Exact notation: <code>{N}gt</code></small>	nvim native native::tabpages mode::normal
What does <b>:tabfirst / :tablast</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Tabpages</small>	Go to the first / last tabpage.<br><br><small>Exact notation: <code>:tabfirst / :tablast</code></small>	nvim native native::tabpages context::ex
What does <b>:tabclose</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Tabpages</small>	Close the current tabpage.<br><br><small>Exact notation: <code>:tabclose</code></small>	nvim native native::tabpages context::ex
What does <b>:tabonly</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Tabpages</small>	Close every other tabpage.<br><br><small>Exact notation: <code>:tabonly</code></small>	nvim native native::tabpages context::ex
What does <b>:tabmove {N}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Tabpages</small>	Move the current tabpage after position N.<br><br><small>Exact notation: <code>:tabmove {N}</code></small>	nvim native native::tabpages context::ex
What does <b>:tab split</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Tabpages</small>	Open the current buffer in a new tabpage.<br><br><small>Exact notation: <code>:tab split</code></small>	nvim native native::tabpages context::ex
What does <b>:tabdo {command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Tabpages</small>	Run a command in each tabpage.<br><br><small>Exact notation: <code>:tabdo {command}</code></small>	nvim native native::tabpages context::ex
What does <b>/ :vsplit [file]</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Create a horizontal / vertical split.<br><br><small>Exact notation: <code>/ :vsplit [file]</code></small>	nvim native native::windows context::ex
What does <b>:new / :vnew</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Create a horizontal / vertical split with a new buffer.<br><br><small>Exact notation: <code>:new / :vnew</code></small>	nvim native native::windows context::ex
What does <b>Ctrl+W s / Ctrl+W v</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Split the current window horizontally / vertically.<br><br><small>Exact notation: <code>&lt;C-w&gt;s / &lt;C-w&gt;v</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W n</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Open a new buffer in a horizontal split.<br><br><small>Exact notation: <code>&lt;C-w&gt;n</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W h / j / k / l</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Focus the window left / below / above / right.<br><br><small>Exact notation: <code>&lt;C-w&gt;h / j / k / l</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W w / Ctrl+W W</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Cycle windows forward / backward.<br><br><small>Exact notation: <code>&lt;C-w&gt;w / &lt;C-w&gt;W</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W p</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Return to the previously focused window.<br><br><small>Exact notation: <code>&lt;C-w&gt;p</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W t / Ctrl+W b</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Focus the top-left / bottom-right window.<br><br><small>Exact notation: <code>&lt;C-w&gt;t / &lt;C-w&gt;b</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W c</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Close the current window.<br><br><small>Exact notation: <code>&lt;C-w&gt;c</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W q</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Quit the current window.<br><br><small>Exact notation: <code>&lt;C-w&gt;q</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W o</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Keep only the current window.<br><br><small>Exact notation: <code>&lt;C-w&gt;o</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W =</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Equalize split sizes.<br><br><small>Exact notation: <code>&lt;C-w&gt;=</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W _ / Ctrl+W |</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Maximize the current window&#x27;s height / width.<br><br><small>Exact notation: <code>&lt;C-w&gt;_ / &lt;C-w&gt;|</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W + / Ctrl+W -</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Increase / decrease window height.<br><br><small>Exact notation: <code>&lt;C-w&gt;+ / &lt;C-w&gt;-</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W &gt; / Ctrl+W &lt;</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Increase / decrease window width.<br><br><small>Exact notation: <code>&lt;C-w&gt;&gt; / &lt;C-w&gt;&lt;</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W H / J / K / L</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Move the window to the far left / bottom / top / right.<br><br><small>Exact notation: <code>&lt;C-w&gt;H / J / K / L</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W r / Ctrl+W R</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Rotate windows forward / backward.<br><br><small>Exact notation: <code>&lt;C-w&gt;r / &lt;C-w&gt;R</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W x</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Exchange the current window with the next one.<br><br><small>Exact notation: <code>&lt;C-w&gt;x</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W f</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Open the file under the cursor in a split.<br><br><small>Exact notation: <code>&lt;C-w&gt;f</code></small>	nvim native native::windows mode::normal
What does <b>Ctrl+W gf</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Open the file under the cursor in a new tabpage.<br><br><small>Exact notation: <code>&lt;C-w&gt;gf</code></small>	nvim native native::windows mode::normal
What does <b>:resize {N}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Set the current window&#x27;s height.<br><br><small>Exact notation: <code>:resize {N}</code></small>	nvim native native::windows context::ex
What does <b>:vertical resize {N}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Windows</small>	Set the current window&#x27;s width.<br><br><small>Exact notation: <code>:vertical resize {N}</code></small>	nvim native native::windows context::ex
What does <b>zf{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Create a manual fold over motion lines.<br><br><small>Exact notation: <code>zf{motion}</code></small>	nvim native native::folds mode::normal
What does <b>zf</b> do in <b>Visual mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Create a manual fold over the selection.<br><br><small>Exact notation: <code>zf</code></small>	nvim native native::folds mode::visual
What does <b>zo / zc</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Open / close one fold under the cursor.<br><br><small>Exact notation: <code>zo / zc</code></small>	nvim native native::folds mode::normal
What does <b>za</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Toggle one fold under the cursor.<br><br><small>Exact notation: <code>za</code></small>	nvim native native::folds mode::normal
What does <b>zO / zC</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Open / close folds recursively.<br><br><small>Exact notation: <code>zO / zC</code></small>	nvim native native::folds mode::normal
What does <b>zA</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Toggle a fold recursively.<br><br><small>Exact notation: <code>zA</code></small>	nvim native native::folds mode::normal
What does <b>zR / zM</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Open / close all folds in the window.<br><br><small>Exact notation: <code>zR / zM</code></small>	nvim native native::folds mode::normal
What does <b>zr / zm</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Reduce / increase global folding by one level.<br><br><small>Exact notation: <code>zr / zm</code></small>	nvim native native::folds mode::normal
What does <b>zj / zk</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Jump to the next / previous fold boundary.<br><br><small>Exact notation: <code>zj / zk</code></small>	nvim native native::folds mode::normal
What does <b>[z / ]z</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Jump to the start / end of the containing open fold.<br><br><small>Exact notation: <code>[z / ]z</code></small>	nvim native native::folds mode::normal
What does <b>zv</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Open enough folds to reveal the cursor line.<br><br><small>Exact notation: <code>zv</code></small>	nvim native native::folds mode::normal
What does <b>zx</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Recompute folds, reset manual fold state, and reveal the cursor.<br><br><small>Exact notation: <code>zx</code></small>	nvim native native::folds mode::normal
What does <b>zi</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Toggle fold display through foldenable.<br><br><small>Exact notation: <code>zi</code></small>	nvim native native::folds mode::normal
What does <b>zd</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Delete one manual fold.<br><br><small>Exact notation: <code>zd</code></small>	nvim native native::folds mode::normal
What does <b>zD</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Delete manual folds recursively under the cursor.<br><br><small>Exact notation: <code>zD</code></small>	nvim native native::folds mode::normal
What does <b>zE</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Folds</small>	Delete all manual folds in the window.<br><br><small>Exact notation: <code>zE</code></small>	nvim native native::folds mode::normal
What does <b>:copen / :cclose</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Open / close the global quickfix window.<br><br><small>Exact notation: <code>:copen / :cclose</code></small>	nvim native native::quickfix context::ex
What does <b>:cwindow</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Open quickfix only when it contains valid entries.<br><br><small>Exact notation: <code>:cwindow</code></small>	nvim native native::quickfix context::ex
What does <b>:cnext / :cprevious</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Go to the next / previous quickfix entry.<br><br><small>Exact notation: <code>:cnext / :cprevious</code></small>	nvim native native::quickfix context::ex
What does <b>:cfirst / :clast</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Go to the first / last quickfix entry.<br><br><small>Exact notation: <code>:cfirst / :clast</code></small>	nvim native native::quickfix context::ex
What does <b>:cc {N}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Go to quickfix entry N.<br><br><small>Exact notation: <code>:cc {N}</code></small>	nvim native native::quickfix context::ex
What does <b>:colder / :cnewer</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Move through older / newer quickfix lists.<br><br><small>Exact notation: <code>:colder / :cnewer</code></small>	nvim native native::quickfix context::ex
What does <b>:cdo {command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Run a command at every valid quickfix entry.<br><br><small>Exact notation: <code>:cdo {command}</code></small>	nvim native native::quickfix context::ex
What does <b>:cfdo {command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Run a command once per file in quickfix.<br><br><small>Exact notation: <code>:cfdo {command}</code></small>	nvim native native::quickfix context::ex
What does <b>:make</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Run makeprg and load errors into quickfix.<br><br><small>Exact notation: <code>:make</code></small>	nvim native native::quickfix context::ex
What does <b>:grep {pattern} {files}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Run grepprg and load matches into quickfix.<br><br><small>Exact notation: <code>:grep {pattern} {files}</code></small>	nvim native native::quickfix context::ex
What does <b>:vimgrep /pattern/gj {files}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Search files internally and populate quickfix.<br><br><small>Exact notation: <code>:vimgrep /pattern/gj {files}</code></small>	nvim native native::quickfix context::ex
What does <b>Enter</b> do in <b>the quickfix window</b>?<br><small>Native Vim/Neovim · Quickfix</small>	Open the selected entry.<br><br><small>Exact notation: <code>&lt;CR&gt;</code></small>	nvim native native::quickfix context::quickfix-window
What does <b>:lopen / :lclose</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Location list</small>	Open / close the current window&#x27;s location list.<br><br><small>Exact notation: <code>:lopen / :lclose</code></small>	nvim native native::location_list context::ex
What does <b>:lwindow</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Location list</small>	Open the location list only when it has valid entries.<br><br><small>Exact notation: <code>:lwindow</code></small>	nvim native native::location_list context::ex
What does <b>:lnext / :lprevious</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Location list</small>	Go to the next / previous location-list entry.<br><br><small>Exact notation: <code>:lnext / :lprevious</code></small>	nvim native native::location_list context::ex
What does <b>:lfirst / :llast</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Location list</small>	Go to the first / last location-list entry.<br><br><small>Exact notation: <code>:lfirst / :llast</code></small>	nvim native native::location_list context::ex
What does <b>:ll {N}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Location list</small>	Go to location-list entry N.<br><br><small>Exact notation: <code>:ll {N}</code></small>	nvim native native::location_list context::ex
What does <b>:lolder / :lnewer</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Location list</small>	Move through older / newer location lists.<br><br><small>Exact notation: <code>:lolder / :lnewer</code></small>	nvim native native::location_list context::ex
What does <b>:ldo {command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Location list</small>	Run a command at each location-list entry.<br><br><small>Exact notation: <code>:ldo {command}</code></small>	nvim native native::location_list context::ex
What does <b>:lfdo {command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Location list</small>	Run a command once per location-list file.<br><br><small>Exact notation: <code>:lfdo {command}</code></small>	nvim native native::location_list context::ex
What does <b>:lvimgrep /pattern/gj {files}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Location list</small>	Search files and populate the location list.<br><br><small>Exact notation: <code>:lvimgrep /pattern/gj {files}</code></small>	nvim native native::location_list context::ex
What does <b>Esc / Ctrl+C</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Cancel the current command line.<br><br><small>Exact notation: <code>&lt;Esc&gt; / &lt;C-c&gt;</code></small>	nvim native native::command_line mode::command-line
What does <b>Left Arrow / Right Arrow</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Move through command-line characters.<br><br><small>Exact notation: <code>&lt;Left&gt; / &lt;Right&gt;</code></small>	nvim native native::command_line mode::command-line
What does <b>Ctrl+B / Ctrl+E</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Move to the command-line beginning / end.<br><br><small>Exact notation: <code>&lt;C-b&gt; / &lt;C-e&gt;</code></small>	nvim native native::command_line mode::command-line
What does <b>Ctrl+W / Ctrl+U</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Delete the previous word / back to line start.<br><br><small>Exact notation: <code>&lt;C-w&gt; / &lt;C-u&gt;</code></small>	nvim native native::command_line mode::command-line
What does <b>Ctrl+R {reg}</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Insert a register into the command line.<br><br><small>Exact notation: <code>&lt;C-r&gt;{reg}</code></small>	nvim native native::command_line mode::command-line
What does <b>Ctrl+R Ctrl+W</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Insert the word under the cursor.<br><br><small>Exact notation: <code>&lt;C-r&gt;&lt;C-w&gt;</code></small>	nvim native native::command_line mode::command-line
What does <b>Tab / Shift+Tab</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Cycle forward / backward through completions.<br><br><small>Exact notation: <code>&lt;Tab&gt; / &lt;S-Tab&gt;</code></small>	nvim native native::command_line mode::command-line
What does <b>Ctrl+D</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	List available completions.<br><br><small>Exact notation: <code>&lt;C-d&gt;</code></small>	nvim native native::command_line mode::command-line
What does <b>Up Arrow / Down Arrow</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Move through command or search history.<br><br><small>Exact notation: <code>&lt;Up&gt; / &lt;Down&gt;</code></small>	nvim native native::command_line mode::command-line
What does <b>Ctrl+P / Ctrl+N</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Select the previous / next history entry.<br><br><small>Exact notation: <code>&lt;C-p&gt; / &lt;C-n&gt;</code></small>	nvim native native::command_line mode::command-line
What does <b>q:</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Open editable Ex command history.<br><br><small>Exact notation: <code>q:</code></small>	nvim native native::command_line mode::normal context::history
What does <b>q/ / q?</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Open editable forward / backward search history.<br><br><small>Exact notation: <code>q/ / q?</code></small>	nvim native native::command_line mode::normal context::history
What does <b>Ctrl+F</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Open the editable command-line window.<br><br><small>Exact notation: <code>&lt;C-f&gt;</code></small>	nvim native native::command_line mode::command-line context::history
What does <b>:history</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Show command and search histories.<br><br><small>Exact notation: <code>:history</code></small>	nvim native native::command_line context::ex context::history
What does <b>:%{command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Run a line command over the whole buffer.<br><br><small>Exact notation: <code>:%{command}</code></small>	nvim native native::command_line context::ex context::ex-range
